Loading parameters
Using platform: HIP

Initial system energy
-2951642.5354888216 kJ/mol

MD run: 250000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
258.8%	647000	918.9999999890742	-2951245.8479888216	309.5156518565401	1.63	12:16:31
259.2%	648000	920.999999989027	-2950635.7229888216	310.2496986424938	1.63	12:15:40
259.6%	649000	922.9999999889797	-2949977.5979888216	310.1254787048077	1.63	12:15:23
260.0%	650000	924.9999999889324	-2949220.4729888216	310.08413068168994	1.63	12:14:04
260.4%	651000	926.9999999888851	-2950881.9729888216	309.8975579728596	1.63	12:11:49
260.8%	652000	928.9999999888378	-2951061.6604888216	310.52954657990585	1.63	12:09:33
261.2%	653000	930.9999999887905	-2945800.4729888216	310.3741265643042	1.62	12:04:00
261.6%	654000	932.9999999887432	-2949300.5979888216	310.42835875084023	1.61	11:58:56
262.0%	655000	934.9999999886959	-2948568.9104888216	311.5311157069032	1.61	11:53:49
262.4%	656000	936.9999999886486	-2944818.3479888216	310.46028376294026	1.61	11:53:53
262.8%	657000	938.9999999886013	-2948940.6604888216	310.0177915030627	1.61	11:53:41
263.2%	658000	940.999999988554	-2948465.8479888216	309.673940848468	1.61	11:52:08
263.6%	659000	942.9999999885067	-2949950.2854888216	309.5408399258963	1.61	11:48:54
264.0%	660000	944.9999999884594	-2947817.9104888216	309.80904468880345	1.61	11:45:07
264.4%	661000	946.9999999884121	-2948843.2229888216	308.996061640252	1.61	11:44:21
264.8%	662000	948.9999999883648	-2946626.6604888216	309.4530011230262	1.61	11:43:50
265.2%	663000	950.9999999883175	-2947779.7854888216	310.506181137923	1.61	11:42:01
265.6%	664000	952.9999999882702	-2946687.9729888216	310.1874299702613	1.61	11:40:21
266.0%	665000	954.999999988223	-2946579.3479888216	310.647237913964	1.61	11:38:21
266.4%	666000	956.9999999881757	-2944686.2229888216	310.02302531311443	1.61	11:35:56
266.8%	667000	958.9999999881284	-2951066.2854888216	310.5272733669277	1.61	11:33:31
267.2%	668000	960.9999999880811	-2947704.6604888216	309.5675814190054	1.6	11:29:54
267.6%	669000	962.9999999880338	-2946280.1604888216	310.83680599649614	1.61	11:29:36
268.0%	670000	964.9999999879865	-2947210.4729888216	309.32526600352895	1.61	11:29:30
268.4%	671000	966.9999999879392	-2943976.9729888216	309.83684038038086	1.62	11:33:04
268.8%	672000	968.9999999878919	-2946824.7229888216	309.71640794638364	1.63	11:36:09
269.2%	673000	970.9999999878446	-2947244.9729888216	308.96600137576974	1.64	11:38:52
269.6%	674000	972.9999999877973	-2948079.4104888216	310.5351979505059	1.65	11:41:39
270.0%	675000	974.99999998775	-2948249.1604888216	310.52684912587347	1.66	11:43:49
270.4%	676000	976.9999999877027	-2949270.4104888216	310.35404580677425	1.67	11:45:55
270.8%	677000	978.9999999876554	-2946596.2229888216	310.9352857166752	1.68	11:47:56
271.2%	678000	980.9999999876081	-2949307.3479888216	311.1101667706365	1.69	11:49:59
271.6%	679000	982.9999999875608	-2950367.7854888216	309.8544386491396	1.7	11:51:36
272.0%	680000	984.9999999875135	-2947529.2854888216	309.5689660400941	1.7	11:53:02
272.4%	681000	986.9999999874663	-2946855.2854888216	310.40454678468035	1.71	11:54:22
272.8%	682000	988.999999987419	-2947572.5979888216	310.133491006319	1.72	11:55:46
273.2%	683000	990.9999999873717	-2949654.9104888216	310.76824111663717	1.72	11:56:51
273.6%	684000	992.9999999873244	-2945647.4729888216	309.2295341567944	1.73	11:55:51
274.0%	685000	994.9999999872771	-2945508.9729888216	309.4721069982492	1.73	11:55:48
274.4%	686000	996.9999999872298	-2947873.8479888216	309.5041911698296	1.73	11:55:31
274.8%	687000	998.9999999871825	-2950633.1604888216	311.1797540629351	1.73	11:54:09
275.2%	688000	1000.9999999871352	-2948365.2854888216	309.8647907508371	1.74	11:53:41
275.6%	689000	1002.9999999870879	-2949009.6604888216	310.5360455683211	1.74	11:51:36
276.0%	690000	1004.9999999870406	-2951625.0979888216	309.6515986358442	1.74	11:51:01
276.4%	691000	1006.9999999869933	-2950640.1604888216	310.7634798566228	1.74	11:50:05
276.8%	692000	1008.999999986946	-2946902.0979888216	309.8346463554091	1.74	11:49:08
277.2%	693000	1010.9999999868987	-2949754.9104888216	310.04648138482196	1.74	11:47:06
277.6%	694000	1012.9999999868514	-2945882.4729888216	310.62187156442474	1.74	11:44:28
278.0%	695000	1014.9999999868041	-2947313.9729888216	309.5445867796798	1.74	11:41:56
