frame,time_ns,W336_delta_deg,W336_cumul_deg,W336_cumul_rot,F339_delta_deg,F339_cumul_deg,F339_cumul_rot,F340_delta_deg,F340_cumul_deg,F340_cumul_rot,F234_delta_deg,F234_cumul_deg,F234_cumul_rot,F243_delta_deg,F243_cumul_deg,F243_cumul_rot,Y370_delta_deg,Y370_cumul_deg,Y370_cumul_rot,Psilocin_delta_deg,Psilocin_cumul_deg,Psilocin_cumul_rot
58,5.800000000000001,7.15,681.1,1.8921,13.5,738.9,2.0525,3.3,576.3,1.6009,19.01,1562.3,4.3397,8.42,711.8,1.9772,5.82,691.2,1.9201,12.31,649.7,1.8046
59,5.9,7.08,688.2,1.9117,10.48,749.4,2.0816,7.72,584.0,1.6223,80.26,1642.6,4.5627,7.11,718.9,1.997,6.69,697.9,1.9387,17.69,667.4,1.8538
60,6.0,5.02,693.2,1.9257,12.67,762.1,2.1168,11.56,595.6,1.6544,64.26,1706.8,4.7412,2.04,721.0,2.0026,6.39,704.3,1.9564,13.2,680.6,1.8904
61,6.1000000000000005,6.7,699.9,1.9443,0.98,763.0,2.1195,7.76,603.3,1.676,14.29,1721.1,4.7809,7.9,728.9,2.0246,7.13,711.4,1.9762,4.4,685.0,1.9027
62,6.2,12.36,712.3,1.9786,6.03,769.1,2.1363,6.31,609.7,1.6935,20.13,1741.2,4.8368,5.78,734.6,2.0406,9.73,721.2,2.0032,5.24,690.2,1.9172
63,6.300000000000001,5.91,718.2,1.995,8.58,777.6,2.1601,15.77,625.4,1.7373,24.8,1766.0,4.9057,5.65,740.3,2.0563,11.43,732.6,2.035,16.87,707.1,1.9641
64,6.4,18.93,737.1,2.0476,16.1,793.7,2.2048,1.98,627.4,1.7428,21.96,1788.0,4.9667,13.52,753.8,2.0939,0.53,733.1,2.0365,13.1,720.2,2.0005
65,6.5,15.05,752.2,2.0894,16.6,810.3,2.2509,7.74,635.1,1.7643,29.57,1817.6,5.0488,8.78,762.6,2.1183,1.78,734.9,2.0414,1.73,721.9,2.0053
66,6.6000000000000005,6.6,758.8,2.1077,21.37,831.7,2.3103,24.58,659.7,1.8326,14.25,1831.8,5.0884,10.35,772.9,2.147,10.91,745.8,2.0717,11.08,733.0,2.0361
67,6.7,4.82,763.6,2.1211,8.52,840.2,2.334,7.44,667.2,1.8532,19.98,1851.8,5.1439,4.6,777.5,2.1598,2.59,748.4,2.0789,15.02,748.0,2.0778
68,6.800000000000001,10.35,774.0,2.1499,14.97,855.2,2.3755,11.33,678.5,1.8847,45.85,1897.6,5.2712,3.74,781.3,2.1702,2.81,751.2,2.0867,9.49,757.5,2.1041
69,6.9,15.02,789.0,2.1916,8.33,863.5,2.3987,3.19,681.7,1.8935,27.84,1925.5,5.3486,6.9,788.2,2.1894,11.34,762.6,2.1182,8.34,765.8,2.1273
70,7.0,10.35,799.3,2.2204,12.01,875.5,2.4321,10.19,691.9,1.9218,10.37,1935.9,5.3774,6.08,794.2,2.2062,10.48,773.0,2.1473,11.8,777.6,2.1601
71,7.1000000000000005,12.68,812.0,2.2556,6.05,881.6,2.4489,7.96,699.8,1.944,9.93,1945.8,5.405,0.93,795.2,2.2088,19.65,792.7,2.2019,11.36,789.0,2.1916
72,7.2,5.43,817.4,2.2707,14.21,895.8,2.4883,9.32,709.1,1.9698,13.45,1959.2,5.4423,5.35,800.5,2.2237,12.74,805.4,2.2373,15.31,804.3,2.2342
73,7.300000000000001,4.68,822.1,2.2837,13.52,909.3,2.5259,7.66,716.8,1.9911,11.2,1970.4,5.4734,5.53,806.1,2.239,5.66,811.1,2.253,18.36,822.7,2.2852
74,7.4,4.36,826.5,2.2958,11.61,920.9,2.5581,16.78,733.6,2.0377,12.05,1982.5,5.5069,5.75,811.8,2.255,2.31,813.4,2.2594,3.61,826.3,2.2952
75,7.5,2.51,829.0,2.3028,8.94,929.9,2.583,6.09,739.7,2.0546,25.46,2007.9,5.5776,6.8,818.6,2.2739,11.4,824.8,2.2911,16.65,842.9,2.3415
76,7.6000000000000005,4.65,833.6,2.3157,4.38,934.2,2.5951,15.24,754.9,2.097,19.28,2027.2,5.6312,2.66,821.3,2.2813,4.82,829.6,2.3045,17.51,860.4,2.3901
77,7.7,12.92,846.6,2.3516,1.18,935.4,2.5984,5.68,760.6,2.1128,4.0,2031.2,5.6423,3.28,824.5,2.2904,5.61,835.2,2.3201,13.9,874.3,2.4287
78,7.800000000000001,18.06,864.6,2.4017,14.36,949.8,2.6383,2.82,763.4,2.1206,8.67,2039.9,5.6664,4.3,828.8,2.3023,6.85,842.1,2.3391,10.48,884.8,2.4578
79,7.9,9.84,874.5,2.4291,15.79,965.6,2.6821,7.38,770.8,2.1411,43.35,2083.2,5.7868,9.02,837.8,2.3273,10.57,852.7,2.3685,13.91,898.7,2.4964
80,8.0,1.09,875.6,2.4321,35.72,1001.3,2.7814,12.51,783.3,2.1758,40.19,2123.4,5.8984,6.79,844.6,2.3462,16.96,869.6,2.4156,10.53,909.2,2.5257
81,8.1,3.52,879.1,2.4419,1.71,1003.0,2.7861,22.28,805.6,2.2377,7.81,2131.2,5.9201,12.27,856.9,2.3803,11.28,880.9,2.4469,4.38,913.6,2.5378
82,8.200000000000001,9.5,888.6,2.4683,9.51,1012.5,2.8125,4.01,809.6,2.2489,4.38,2135.6,5.9323,18.03,874.9,2.4304,9.71,890.6,2.4739,8.25,921.9,2.5608
83,8.3,6.23,894.8,2.4856,9.94,1022.4,2.8401,6.59,816.2,2.2672,9.29,2144.9,5.9581,21.67,896.6,2.4906,23.61,914.2,2.5395,10.08,932.0,2.5888
84,8.4,6.68,901.5,2.5041,11.16,1033.6,2.8711,5.32,821.5,2.282,9.6,2154.5,5.9848,12.95,909.6,2.5265,14.13,928.3,2.5787,10.23,942.2,2.6172
85,8.5,6.72,908.2,2.5228,15.56,1049.2,2.9143,2.6,824.1,2.2892,3.33,2157.9,5.994,5.42,915.0,2.5416,17.59,945.9,2.6276,15.07,957.3,2.659
86,8.6,3.31,911.5,2.532,14.1,1063.3,2.9535,4.58,828.7,2.3019,15.65,2173.5,6.0375,11.62,926.6,2.5739,8.89,954.8,2.6523,2.5,959.8,2.666
87,8.700000000000001,6.87,918.4,2.5511,15.42,1078.7,2.9964,12.18,840.9,2.3358,11.53,2185.0,6.0696,4.38,931.0,2.586,19.16,974.0,2.7055,7.81,967.6,2.6877
88,8.8,7.88,926.3,2.573,22.88,1101.6,3.0599,19.57,860.4,2.3901,7.27,2192.3,6.0898,10.68,941.7,2.6157,11.18,985.2,2.7365,5.46,973.0,2.7028
89,8.9,10.6,936.9,2.6024,28.36,1129.9,3.1387,16.39,876.8,2.4357,23.58,2215.9,6.1553,3.95,945.6,2.6267,7.52,992.7,2.7574,5.05,978.1,2.7169
90,9.0,11.86,948.7,2.6354,8.68,1138.6,3.1628,11.58,888.4,2.4678,19.93,2235.8,6.2106,15.0,960.6,2.6683,7.62,1000.3,2.7786,5.67,983.7,2.7326
91,9.1,11.44,960.2,2.6671,11.83,1150.4,3.1957,6.18,894.6,2.485,3.05,2238.9,6.2191,2.78,963.4,2.6761,11.18,1011.5,2.8097,5.78,989.5,2.7487
92,9.200000000000001,2.93,963.1,2.6753,14.81,1165.2,3.2368,12.94,907.5,2.5209,8.16,2247.0,6.2418,4.07,967.5,2.6874,10.72,1022.2,2.8394,4.27,993.8,2.7605
93,9.3,7.58,970.7,2.6963,7.56,1172.8,3.2578,6.83,914.4,2.5399,24.43,2271.5,6.3096,13.35,980.8,2.7245,13.55,1035.7,2.8771,3.42,997.2,2.77
94,9.4,6.26,976.9,2.7137,9.19,1182.0,3.2833,7.54,921.9,2.5608,27.39,2298.9,6.3857,17.18,998.0,2.7722,8.41,1044.2,2.9004,14.89,1012.1,2.8114
95,9.5,7.85,984.8,2.7355,4.09,1186.1,3.2947,3.33,925.2,2.5701,10.69,2309.6,6.4154,4.36,1002.3,2.7843,16.74,1060.9,2.9469,7.55,1019.6,2.8323
96,9.600000000000001,6.73,991.5,2.7542,11.31,1197.4,3.3261,20.43,945.7,2.6268,20.62,2330.2,6.4727,2.55,1004.9,2.7914,34.89,1095.8,3.0438,12.32,1032.0,2.8665
97,9.700000000000001,9.31,1000.8,2.7801,15.39,1212.8,3.3689,6.55,952.2,2.645,16.79,2347.0,6.5193,11.59,1016.5,2.8236,26.05,1121.8,3.1162,9.36,1041.3,2.8925
98,9.8,17.23,1018.1,2.8279,29.73,1242.5,3.4515,20.0,972.2,2.7006,8.31,2355.3,6.5424,19.03,1035.5,2.8764,6.92,1128.7,3.1354,7.97,1049.3,2.9147
99,9.9,17.07,1035.1,2.8754,31.3,1273.8,3.5384,17.01,989.2,2.7478,34.96,2390.2,6.6395,10.78,1046.3,2.9064,0.22,1129.0,3.136,9.03,1058.3,2.9398
